[2025-01-17 01:27:48,565: INFO: main: welcome to our custom log]
[2025-01-17 01:55:38,557: INFO: <ipython-input-1-f3da8e084acd>: welcome to our custom log]
[2025-01-19 01:12:21,955: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 01:12:21,971: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:12:21,975: INFO: common: created directory at: artifacts]
[2025-01-19 01:12:21,978: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 01:19:12,893: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 01:19:12,895: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:19:12,895: INFO: common: created directory at: artifacts]
[2025-01-19 01:19:12,899: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 01:33:07,035: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 01:33:07,038: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:33:07,039: INFO: common: created directory at: artifacts]
[2025-01-19 01:33:07,040: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 01:39:22,633: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 01:39:22,640: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:39:22,640: INFO: common: created directory at: artifacts]
[2025-01-19 01:39:22,643: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 01:47:17,395: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 01:47:17,398: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:47:17,401: INFO: common: created directory at: artifacts]
[2025-01-19 01:47:17,402: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 01:51:26,025: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-19 01:51:26,028: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-19 01:51:26,029: INFO: common: created directory at: artifacts]
[2025-01-19 01:51:26,029: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-19 01:51:26,031: INFO: 3372859869: Downloading data from https://drive.google.com/file/d/1WPN4K6hFqsm0AH7z736GSrKV3AzS1aKD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-19 01:52:54,002: INFO: 3372859869: Downloaded data from https://drive.google.com/file/d/1WPN4K6hFqsm0AH7z736GSrKV3AzS1aKD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 01:31:11,616: INFO: main: welcome to our custom log]
[2025-01-20 01:32:20,097: INFO: main: welcome to our custom log]
[2025-01-20 02:00:20,023: INFO: <ipython-input-1-4ccd7c392c5b>: >>>>>> stage Data Ingestion stage started <<<<<<]
[2025-01-20 02:00:20,036: INFO: common: yaml file: config\config.yaml loaded successfully]
[2025-01-20 02:00:20,045: INFO: common: yaml file: params.yaml loaded successfully]
[2025-01-20 02:00:20,047: INFO: common: created directory at: artifacts]
[2025-01-20 02:00:20,048: INFO: common: created directory at: artifacts/data_ingestion]
[2025-01-20 02:00:20,049: INFO: data_ingestion: Downloading data from https://drive.google.com/file/d/1WPN4K6hFqsm0AH7z736GSrKV3AzS1aKD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 02:02:00,496: INFO: data_ingestion: Downloaded data from https://drive.google.com/file/d/1WPN4K6hFqsm0AH7z736GSrKV3AzS1aKD/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 02:02:11,358: INFO: <ipython-input-1-4ccd7c392c5b>: >>>>>> stage Data Ingestion stage completed <<<<<<

x==========x]
